Qvector_A	Intensity	Uncertainty
0.006083837107045725	194.64688091147	2.331728257819163
0.006173456852348647	182.4969059676229	2.238050103295976
0.0062585839820845	181.916305373405	2.146884247402012
0.006344197775958215	159.0834661534334	2.036281419413246
0.006435363402412761	159.7307967153673	1.92398204614983
0.006532180557008979	151.3299420386777	1.836371332624072
0.006629585022305428	141.2117725527388	1.770065833581083
0.006722419855063505	138.5076182876715	1.700612103695194
0.00681579222328911	124.9990888507661	1.614716751416935
0.006914940921366379	122.65297156901	1.524005184636933
0.007014679165500504	110.9548417524683	1.447828760491621
0.007115028624871263	103.654720487737	1.391669576790254
0.007215968823070676	108.9897957402648	1.340941848345573
0.007317521486713621	93.91203252770624	1.280420316549147
0.007425064414932051	96.29805189605989	1.217690323451937
0.007533275704172583	83.6192623732435	1.168203429058311
0.007642156099545831	87.96431118870548	1.127852832835397
0.007751706354045857	80.29021045023373	1.08277746319945
0.007861927228327219	73.12498703115726	1.034698829063215
0.007972819490491853	70.63297101982226	0.9937353078962503
0.0080843839158844	69.44159114504288	0.9559186864589305
0.008196621286892525	63.63035936410665	0.9119377956115309
0.008315201550325878	60.37314196262621	0.8658758679970808
0.008434513723071467	57.27275392427298	0.8268792402926848
0.008554582359320932	53.87865105242678	0.7954687088160751
0.008675384741758963	51.77090762184336	0.7649617074302506
0.008796945499167576	49.95480955571832	0.7294914715529495
0.008925090389273072	45.26494414962782	0.6919226914549551
0.00905405674241898	42.56051097974656	0.6610493439167912
0.009183845669431307	41.09015114256783	0.6379993670163752
0.009314458289142517	40.86733263532839	0.6144364242369599
0.009445895728169861	35.74466943408581	0.5872633483572381
0.009578159120696065	34.10184195041888	0.5646494369060935
0.009717325406704247	34.02112895927051	0.5511427151747219
0.009857383879509261	34.71911463385685	0.5361687645316754
0.009992207467696102	29.74639994846359	0.5085369425351425
0.01013405417078773	27.74912956394043	0.4751926100282087
0.01028303067104873	25.15490448946596	0.4519197641453317
0.01042672362403593	24.49969528045752	0.4399026889871002
0.01057134178524302	26.80350043241045	0.4260354996871558
0.01072321459749997	21.07204229554509	0.405372700932236
0.01087608346077418	20.91076096198413	0.3871702303585571
0.011029949935603	20.37508065684203	0.3774585137885722
0.01118481559037562	19.99977618124434	0.3698721038708801
0.01134068200111387	20.03888794163852	0.3547630893327335
0.01150411598750617	17.25718577055131	0.3315478617284145
0.01166862485446411	14.56705617662394	0.310811632523421
0.01183423948323224	14.41703758779981	0.3013653106363197
0.01200093256491125	15.84455390487322	0.2989459985522047
0.01216873509330847	14.07372198125905	0.29300534252652
0.01234440551432542	15.07245127908364	0.2796486372564398
0.01252126416935531	10.99190322458833	0.2649758669581492
0.01269931313333615	11.9726303412673	0.2571313359859481
0.01287855448932566	11.84894518677255	0.2555032562204126
0.0130589903282719	12.00883959832792	0.2514885022966692
0.01324062274878701	10.70012885248962	0.2397135846584748
0.01343051778360621	9.792455560400418	0.223721505154236
0.01362169186477629	8.053122532136818	0.2107519018833262
0.01381417937277445	9.064782047515521	0.2035575105510237
0.01400795062625789	7.913867028266959	0.1993396143142236
0.0142030401390231	8.092913331377442	0.1953116349843974
0.01440672483733736	7.623151518101109	0.1911559850298116
0.014611815224767	7.549951640019133	0.1870483692747278
0.01481831399230095	6.879328481607708	0.1822284970034191
0.01502622383885884	7.078526701458519	0.1754328756633606
0.01523554747106437	5.819034772364051	0.1671866849780241
0.01544628760301786	5.635792406028045	0.16036739429693
0.01566605912527776	5.668711367649881	0.1562585647973376
0.01588733854958375	5.43068442100483	0.1524480799897649
0.01611016401771981	5.184323718653536	0.1461705988397054
0.01634227572170438	4.655256586129209	0.1375400866585132
0.01657602977269546	4.075387354094256	0.1293054491825057
0.01681142956047111	3.672743500116445	0.1241756137759358
0.01704847848280618	4.15847169952824	0.1222954727633277
0.01728717994523286	3.403282981868473	0.1214730003738052
0.01752753736081045	4.160428014722482	0.1190752481188532
0.01776955414989938	3.15547153840046	0.1143721312099773
0.01802139463622302	3.243258317322542	0.1094291976677738
0.0182749952817933	3.133147099044759	0.105726406577993
0.01853039818884651	3.334236862192412	0.102344411003507
0.01879590433177391	2.582132141002099	0.09911090379959543
0.0190633187030687	3.025041941644974	0.09678886603348852
0.01933264550317508	2.673202272910314	0.09472096642653308
0.01960388894015552	2.534497695752423	0.0920233483451835
0.01987705322945574	2.389075313136451	0.08856853171586193
0.02015214259367617	2.407121467791404	0.08443537751726654
0.02043785961530788	1.81030529206098	0.08080318492280254
0.02072561228122576	2.109160685014844	0.07874512355086447
0.02101544683562981	2.019827424528243	0.07711268301028212
0.02131621415516059	1.820639619480927	0.07476569787322637
0.02161022675924121	1.576870073283047	0.07187258338761576
0.02190633553852014	1.911289727046291	0.06824828432650784
0.02222266325492346	1.178113711547163	0.06464557808683763
0.02254131387027755	1.445230151358806	0.0627899600022026
